HIT_info	AID	StartTime_str	EndTime_str	StartTime	EndTime	WorkTime	WorkerCity	WorkerCountry	WorkerIP	native	yearsSpoken	ctrlPosition	pos_ctrlSubPosition	ctrlIndex	RANK1_01	RANK1_02	RANK1_03	RANK1_04	RANK2_01	RANK2_02	RANK2_03	RANK2_04	RANK3_01	RANK3_02	RANK3_03	RANK3_04	RANK4_01	RANK4_02	RANK4_03	RANK4_04	RANK5_01	RANK5_02	RANK5_03	RANK5_04	SrcIndex1	SrcIndex2	SrcIndex3	SrcIndex4	SrcIndex5	trAID1_1	trAID1_2	trAID1_3	trAID1_4	trAID2_1	trAID2_2	trAID2_3	trAID2_4	trAID3_1	trAID3_2	trAID3_3	trAID3_4	trAID4_1	trAID4_2	trAID4_3	trAID4_4	trAID5_1	trAID5_2	trAID5_3	trAID5_4
1	A1KEURR4Z7DXX	Sat Nov 13 00:00:54 EST 2010	Sat Nov 13 00:05:02 EST 2010	1289624454000	1289624702000	248	Milwaukee	United States	75.44.39.14	N/A		1	4	1	4	1	1	4	4	4	1	4	1	3	3	4	3	2	1	4	4	4	1	2	ctrl	1	2	3	4	neg1	neg2	neg3	pos1	A353OCL6LM6M4O	A2DSLTEW8FFMBV	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A2DSLTEW8FFMBV	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA
1	A1LRRDBA84ITCJ	Wed Nov 10 16:08:45 EST 2010	Wed Nov 10 16:21:54 EST 2010	1289423325000	1289424114000	789	Cranston	United States	72.195.128.219	N/A		1	4	1	4	1	2	3	4	3	2	1	2	4	1	3	2	3	1	4	3	4	1	2	ctrl	1	2	3	4	neg1	neg2	neg3	pos1	A353OCL6LM6M4O	A2DSLTEW8FFMBV	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A2DSLTEW8FFMBV	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA
1	A3DIZOJQ3LRGQ9	Fri Nov 12 11:30:10 EST 2010	Fri Nov 12 11:33:29 EST 2010	1289579410000	1289579609000	199	Federal Way	United States	63.224.37.215	yes	43	1	4	1	4	2	1	3	3	4	2	1	1	3	3	4	2	3	1	4	4	4	3	2	ctrl	1	2	3	4	neg1	neg2	neg3	pos1	A353OCL6LM6M4O	A2DSLTEW8FFMBV	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A2DSLTEW8FFMBV	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA
1	AF4OIIX5Z8WED	Sun Nov 14 08:01:05 EST 2010	Sun Nov 14 08:04:08 EST 2010	1289739665000	1289739848000	183	Valencia	Venezuela	201.242.240.194	N/A		1	4	1	2	1	4	3	1	2	3	3	N/A	N/A	N/A	N/A	4	1	2	3	3	4	1	2	ctrl	1	2	3	4	neg1	neg2	neg3	pos1	A353OCL6LM6M4O	A2DSLTEW8FFMBV	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A2DSLTEW8FFMBV	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA
1	AW468BGG4HUVN	Thu Nov 18 16:36:20 EST 2010	Thu Nov 18 16:37:28 EST 2010	1290116180000	1290116248000	68	Arlington	United States	96.255.14.183	N/A		1	4	1	3	1	2	4	3	4	1	2	1	4	3	2	2	3	1	4	4	3	2	1	ctrl	1	2	3	4	neg1	neg2	neg3	pos1	A353OCL6LM6M4O	A2DSLTEW8FFMBV	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A2DSLTEW8FFMBV	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA
2	A1LRRDBA84ITCJ	Thu Nov 11 09:27:02 EST 2010	Thu Nov 11 09:30:46 EST 2010	1289485622000	1289485846000	224	Cranston	United States	72.195.128.219	N/A		3	2	2	1	2	3	4	3	2	4	1	2	1	4	3	N/A	3	4	2	4	2	3	1	5	6	ctrl	7	8	A3DD3ACPMVDVCA	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A2DSLTEW8FFMBV	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A2DSLTEW8FFMBV	A353OCL6LM6M4O	neg1	pos1	neg2	neg3	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA
2	A3QPOJPYI2BBT5	Wed Nov 17 20:15:05 EST 2010	Wed Nov 17 20:22:19 EST 2010	1290042905000	1290043339000	434	Gaylord	United States	66.227.188.2	N/A		3	2	2	1	3	3	4	1	2	3	4	3	1	4	4	2	1	3	3	4	3	4	1	5	6	ctrl	7	8	A3DD3ACPMVDVCA	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A2DSLTEW8FFMBV	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A2DSLTEW8FFMBV	A353OCL6LM6M4O	neg1	pos1	neg2	neg3	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA
2	AHOU3VA400IOT	Thu Nov 11 13:18:37 EST 2010	Thu Nov 11 13:20:32 EST 2010	1289499517000	1289499632000	115	Raeford	United States	67.238.166.116	yes	34	3	2	2	3	1	2	4	1	2	3	1	1	4	2	3	1	3	2	4	3	2	1	4	5	6	ctrl	7	8	A3DD3ACPMVDVCA	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A2DSLTEW8FFMBV	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A2DSLTEW8FFMBV	A353OCL6LM6M4O	neg1	pos1	neg2	neg3	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA
2	ASZA1HQAYN7QM	Fri Nov 12 22:15:00 EST 2010	Fri Nov 12 22:17:41 EST 2010	1289618100000	1289618261000	161	Pflugerville	United States	71.145.147.77	N/A		3	2	2	2	3	1	4	2	1	3	4	3	1	3	2	2	1	4	3	4	1	2	3	5	6	ctrl	7	8	A3DD3ACPMVDVCA	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A2DSLTEW8FFMBV	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A2DSLTEW8FFMBV	A353OCL6LM6M4O	neg1	pos1	neg2	neg3	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA
2	AW468BGG4HUVN	Wed Nov 10 14:57:26 EST 2010	Wed Nov 10 14:58:47 EST 2010	1289419046000	1289419127000	81	Arlington	United States	96.255.14.183	N/A		3	2	2	1	3	2	4	1	2	3	3	2	1	4	3	2	1	4	3	4	3	2	1	5	6	ctrl	7	8	A3DD3ACPMVDVCA	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A2DSLTEW8FFMBV	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A2DSLTEW8FFMBV	A353OCL6LM6M4O	neg1	pos1	neg2	neg3	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA
