SegID	Translator_1	Translation_1	Num_Edits_1	Editor_11	Editor_12	Editor_13	Edits_11	Edits_12	Edits_13	Translator_2	Translation_2	Num_Edits_2	Editor_21	Editor_22	Editor_23	Edits_21	Edits_22	Edits_23	Translator_3	Translation_3	Num_Edits_3	Editor_31	Editor_32	Editor_33	Edits_31	Edits_32	Edits_33	Translator_4	Translation_4	Num_Edits_4	Editor_41	Edits_41
bbc_urd_20090102.0020__1	a353ocl6lm6m4o	defending the thinking of France.	3	a230hf2okthmdz	a1dndzlo2d5d48	a1lkw32z4tqsw7	Defending the thinking of France.	defending the thinking of France.	defending the thinking of France.	a3dd3acpmvdvca	Supporting the French proposal	3	a301gnfg8w711q	a143awku99stc9	a6tw9zegog7ph	Supporting the French Proposal	Committee supports the French proposal	Supporting the French proposal	a2dsltew8ffmbv	France suggestion was appriciatable.	3	a2unp2crnrfiw8	attzel5iaoiw5	aohhtbpd64eb6	France's Suggestion Appreciatable.	France suggestion was appriciatable.	France's suggestion was appriciatable.	a1aczgd5azz3r7	France has supported the proposal.	1	ao86wz7i0vqzc	France has supported the proposal.
bbc_urd_20090102.0020__2	a353ocl6lm6m4o	The meeting of commattee was held on Friday in parliment house in the control of Mushahid Hussain Syed in that it was suggested that he send helping things and representatives parties and a parlenani persons to Falaatin.	3	a230hf2okthmdz	a1dndzlo2d5d48	a1lkw32z4tqsw7	The meeting of the committee was held on Friday in parliment house in the control of Mushahid Hussain Syed in that it was suggested that he sent helping things and representatives parties and a memeber of the parliment to Palestine.	The meeting of commattee was held on Friday in parliment house in the control of Mushahid Hussain Syed in that it was suggested that he send helping things and representatives parties and a parlenani persons to Falaatin.	The committee meeting was held on Friday in Parliament, in the control of Mushahid Hussain Syed. Here, it was suggested that representatives and aid be sent to Falaatin.	a3dd3acpmvdvca	The meeting of the committee took place in the parliament house under the chairmanship of the committee chairman Mushahid Husain Syed, in which they proposed to the government to send a delegation, with representatives of all political parties apart from humanitarian aid to Palestine.	3	a301gnfg8w711q	a143awku99stc9	a6tw9zegog7ph	The meeting of the committee took place in the parliament house under the chairmanship of the committee chairman Mushahid Husain Syed, in which they proposed to the government to send a delegation, with representatives of all political parties apart from the humanitarian aid to Palestine.	A committee lead by chairman Mushahid Husain Syedby took place in the parliament house and proposed to the government to send a delegation with representatives of all political parties to send humanitarian aid to Palestine.	The meeting of the committee took place in the Parliament under the chairmanship of Committee Chairman Mushahid Husain Syed. They proposed that the government to send a delegation, with representatives of all political parties, apart from humanitarian aid to Palestine.	a2dsltew8ffmbv	When commity's meeting was set up in the parliment house the chairman Mushahid hussain syeed of the commity in his presence the suggestion was given to the government,not only with the help of donating thinks but also with all the political group to send to the parliment of Paliestien.	3	a2unp2crnrfiw8	attzel5iaoiw5	aohhtbpd64eb6	When committee's meeting was set up in the parliament house the chairman Mushahid Hussain syeed of the commity in his presence the suggestion was given to the government,not only with the help of donating thinks but also with all the political group to send to the parliment of Paliestien.	When committee's meeting was set up in the Parliament house the chairman Mushahid Hussain Syeed of the committee in his presence the suggestion was given to the government,not only with the help of donating thinks but also with all the political group to send to the parliment of Paliestien.	When the committeea meeting was set up in the parliament house, the chairman Mushahid Hussain Syeed of the committee attended. In his presence it was suggested that the government, not only with the help of donations but also with all the political groups, to send to the parliament of Palestine.	a1aczgd5azz3r7	The Chairman of the Committee of the Summit, Mushahid Hussain Syed said in the Committee meeting on Friday at the Parliament House about the proposal on the relief goods to Palestine and that a Parliamentary delegation has been sent.	1	ao86wz7i0vqzc	The Chairman of the Committee of the Summit, Mushahid Hussain Syed said in the Committee meeting on Friday at the Parliament House about the proposal on the relief goods to Palestine and that a Parliamentary delegation has been sent.
bbc_urd_20090102.0020__3	a353ocl6lm6m4o	After the meeting Mushahid Hussain said talking with media representatives that the commettee said welcome the suggest by France in which it was called that Israel stop the war and with this give permission to help in helping works for injured persons in Ghaza.	3	a230hf2okthmdz	a1dndzlo2d5d48	a1lkw32z4tqsw7	After the meeting Mushahid Hussain told the media that the committee said to Welcome the suggestion by France in which it was stated that Israel should stop the war and with this it gave permission to help in works for injured persons in Ghaza.	After the meeting Mushahid Hussain said talking with media representatives that the commettee said welcome the suggest by France in which it was called that Israel stop the war and with this give permission to help in helping works for injured persons in Ghaza.	After the meeting Mushahid Hussain said talking with media representatives that the commettee said welcome the suggest by France in which it was called that Israel stop the war and with this give permission to help in helping works for injured persons in Ghaza.	a3dd3acpmvdvca	After the meeting, speaking to representatives of the press, Mushahid Husain Syed said that the committee welcomed the proposal given by France, in which it was stated that Israel calls an immediate ceasefire and allow humanitarian work among the affected people of Gaza.	3	a301gnfg8w711q	a143awku99stc9	a6tw9zegog7ph	Speaking to representatives of the press after the meeting, Mushahid Husain Syed said that the committee welcomed the proposal given by France, in which it was stated that Israel calls for an immediate ceasefire and allows humanitarian work among the affected people of Gaza.	After the meeting, speaking to representatives of the press, Mushahid Husain Syed said that the committee welcomed the proposal given by France, in which it was stated that Israel calls for an immediate ceasefire and allowing humanitarian work among the affected people of Gaza.	After the meeting, speaking to representatives of the press, Mushahid Husain Syed said that the committee welcomed the proposal given by France, in which Israel would call an immediate ceasefire and allow humanitarian work among the affected people of Gaza.	a2dsltew8ffmbv	After the meeting while talking to one of the member Mushahid hussain sayeed told by the side of France suggestion was accepted,in which it is said that the Israial's should stop the war immediatly,besides all this the people who are in the cave should be permitted to do some work.	3	a2unp2crnrfiw8	attzel5iaoiw5	aohhtbpd64eb6	After the meeting while talking to one of the members, Mushahid hussain sayeed stood by the side of France's suggestion. Which it is said that the Israial's should stop the war immediatly, besides all this the people who are in the cave should be permitted to do some work.	After the meeting, while talking to one of the members, Mushahid Hussain Sayeed was told by the side of France, that the Isralis should stop the war immediatly. Besides all this, the people who are in the cave should be permitted to do some work.	After the meeting while talking to one of the members Mushahid Hussain Sayeed told the side of France suggestion was accepted,in which it is said that the Israial's should stop the war immediatly,besides all this the people who are in the cave should be permitted to do some work.	a1aczgd5azz3r7	After the meeting, Mushahid Hussain Syed said to the representatives of media that the Committee at France has welcomed the proposal for the relief work for the affected people in the Gaza Strip.	1	ao86wz7i0vqzc	After the meeting, Mushahid Hussain Syed said to the representatives of media that the Committee at France has welcomed the proposal for the relief work for the affected people in the Gaza Strip.
bbc_urd_20090102.0020__4	a353ocl6lm6m4o	He named the attacks by Israel on Israel attacks the criminal against humanity and said that all countries should dispraise these attacks of Israel.	3	a230hf2okthmdz	a1dndzlo2d5d48	a1lkw32z4tqsw7	He named the attacks by Israel the acts of crime against humanity and said that all countries should dispraise these attacks of Israel.	He said the attacks by Israel were criminal attacks against humanity and said that all countries should condemn these attacks of Israel.	He blamed the attacks on Israel's supposed crimes against humanity and said that all countries should condemn these attacks.	a3dd3acpmvdvca	Calling the Israeli attacks on Palestine, a crime against humanity, he said that all countries should derogate these attacks.	3	a301gnfg8w711q	a143awku99stc9	a6tw9zegog7ph	Calling the Israeli attacks on Palestine a crime against humanity, he said that all countries should criticize these attacks.	Calling the Israeli attacks on Palestine "a crime against humanity," he said that all countries should denounce these attacks.	Calling the Israeli attacks on Palestine a crime against humanity, he said that all countries should derogate these attacks.	a2dsltew8ffmbv	On behalf of Israil the attack on paliestien was declared as the crime on humanity, they said that all the countries should help.	3	a2unp2crnrfiw8	attzel5iaoiw5	aohhtbpd64eb6	On behalf of Israel the attack on Palistine was declared as a crime on humanity, they said that all the countries should help.	On behalf of Israel, the attack on Palestine was declared as a crime on humanity, they said that all the countries should help.	On behalf of Israel, the attack on Palestine was declared as a crime on humanity, and they said that all the countries should help.	a1aczgd5azz3r7	He said that the Israeli attack is a crime on humanity and that all the countries should condemn the attacks.	1	ao86wz7i0vqzc	He said that the Israeli attack is a crime on humanity and that all the countries should condemn the attacks.
bbc_urd_20090102.0020__5	a353ocl6lm6m4o	Mushahid Hussain said criticizing the second standard of the world that the people whom talk against terrorism but they are quite of Israel at attacks on Falastin.	3	a230hf2okthmdz	a1dndzlo2d5d48	a1lkw32z4tqsw7	Mushahid Hussain said criticizing the second standard of the world that the people who talk against terrorism but are quite on Israel's attacks on Palestine.	Mushahid Hussain said criticizing the second standard of the world that the people whom talk against terrorism but they are quite of Israel at attacks on Falastin.	Mushahid Hussain claimed the world holds a double standard for Israel, speaking out against terrorism but ignore Isreal's attacks on Falastin.	a3dd3acpmvdvca	Mushahid Husain made the double standards of the countries of the world a target of his attack, and said that why are those who speak against terrorism, quiet about the Israeli attacks on Palestine?	3	a301gnfg8w711q	a143awku99stc9	a6tw9zegog7ph	Mushahid Husain made the double standards of the countries of the world a target of his attack, and asked why are those who speak against terrorism, quiet about the Israeli attacks on Palestine?	Mushahid Husain attacled the the double standards of the countries of the world and said, "Why are those who speak against terrorism quiet about the Israeli attacks on Palestine?"	Mushahid Husain made the double standards of the countries of the world a target of his attack, and asked, "Why are those who speak against terrorism quiet about the Israeli attacks on Palestine?"	a2dsltew8ffmbv	Mushahid hussain said that all the countries gives their opinion on terraisiom but attack of Israil on paliestien why all are quiet.	3	a2unp2crnrfiw8	attzel5iaoiw5	aohhtbpd64eb6	Mushahid Hussain said that all the countries give their opinion on terrorism, but on the attack of Israel or Paliestine they were all quiet.	Mushahid Hussain said that all the countries gives their opinion on terraisiom but attack of Israil on paliestien why all are quiet.	Mushahid Hussain said that all the countries give their opinion on terrorism but why isn't everybody angry about the attack on Israel on Palestine.	a1aczgd5azz3r7	Mushahid Hussain while criticizing the world to double standards said that the people should be against terrorism, but they are still against the Palestinians in the attacks.	1	ao86wz7i0vqzc	While Mushahid Hussain criticize the world to double standards, said that the people should be against terrorism, but they are still against the Palestinians in the attacks.
bbc_urd_20090102.0020__6	a353ocl6lm6m4o	The chairman of commettee for external matters criticized the slow action of leaders.	3	a230hf2okthmdz	a1dndzlo2d5d48	a1lkw32z4tqsw7	The chairman of of committee for external matters criticized the slow action of the leaders.	The chairman of the Committee for External Matters criticized the slow action of leaders.	The chairman of Committee for External Matters criticized the slow action of leaders.	a3dd3acpmvdvca	The chairman of the standing committee of external affairs in the senate also targeted the leaders of Muslim nation who were taking a quiet stance on the matter of Palestine.	3	a301gnfg8w711q	a143awku99stc9	a6tw9zegog7ph	The chairman of the standing Committee of External Affairs in the Senate also targeted the leaders of Muslim nation who were taking a quiet stance on the matter of Palestine.	The chairman of the standing committee of external affairs in the senate also targeted the leaders of Muslim nation who were taking a quiet stance on the matter of Palestine.	The chairman of the standing committee of external affairs in the senate also targeted the leaders of Muslim nations who were taking a quiet stance on the matter of Palestine.	a2dsltew8ffmbv	The chairman of the commiety said the paliestien's matter Saddam's brother Tanfeed was made target.	3	a2unp2crnrfiw8	attzel5iaoiw5	aohhtbpd64eb6	The chairman of the committee said the Paliestien's matter of Saddam's brother Tanfeed was made a target.	The chairman of the committee said the Palestinian's m Saddam's brother Tanfeed was made target.	The chairman of the committee said the Palestinian's made Saddam's brother, Tanfeed, the target.	a1aczgd5azz3r7	The foreign affairs Minister in the Senate Standing Committee Chairman and the leaders of the Muslim Ummah were also criticized.	1	ao86wz7i0vqzc	The foreign affairs Minister in the Senate Standing Committee Chairman and the leaders of the Muslim Ummah were also criticized.
bbc_urd_20090102.0020__7	a353ocl6lm6m4o	He said that the commettee has expressed this hope that the new elected president of America obama will deliver speech to Muslim Ummah due to abolish the clash between America and Muslim Umma.	3	a230hf2okthmdz	a1dndzlo2d5d48	a1lkw32z4tqsw7	He said that the committee has expressed the hope that the new elected president of America, Obama will deliver speech to Muslim Ummah which would demolish the clash between America and Muslim Umma.	He said that the committee has expressed the hope that the new elected President Obama of America will deliver a speech to help abolish the clash between America and the Muslim Ummah.	He said the Committee expressed hope that newly-elected American President Obama would deliver a speech to Muslims on helping to heal the rift between Americans and Muslims.	a3dd3acpmvdvca	He said that the committee expressed hope that the newly elected American President, Barack Obama would speak to the Muslim nation, within his first 100 days of his government, to bridge the gulf forming between American and the Muslim nation.	3	a301gnfg8w711q	a143awku99stc9	a6tw9zegog7ph	He said that the committee expressed hope that the newly elected American President Barack Obama would speak to the Muslim nation within the first 100 days of his government, in order to bridge the gulf forming between American and the Muslim nation.	He said the committee expressed hope that the newly elected American President, Barack Obama, would speak to the Muslim nation within his first 100 days of his government, to bridge the gulf forming between America and the Muslim nation.	He said that the committee expressed hope that the newly elected American President, Barack Obama, would speak to the Muslim world within his first 100 days in office to bridge the gulf forming between America and the Muslim world.	a2dsltew8ffmbv	They said that the commiety has said that America's prime minister Barack Obama before100 days his government of set up, he will speak to the muslim people to erase and end the misunderstanding between muslim people and America.	3	a2unp2crnrfiw8	attzel5iaoiw5	aohhtbpd64eb6	They said that the commitee said that America's President Barack Obama will speak to the muslim people to erase the misunderstanding between muslim people and America.	They said that the committee has said that America's prime minister Barack Obama before100 days his government of set up, he will speak to the muslim people to erase and end the misunderstanding between muslim people and America.	They said that the committee has said that America's president Barack Obama will speak to the Muslim people to erase and end the misunderstanding between Muslim people and America.	a1aczgd5azz3r7	He said that the Committee expressed hope that the newly elected President of the United States Barak will address the Muslim Ummah in his first one hundred days.	1	ao86wz7i0vqzc	He said that the Committee expressed hope that the newly elected President of the United States Barak, will address the Muslim Ummah in his first one hundred days.
bbc_urd_20090102.0020__8	a353ocl6lm6m4o	Mushahid Hussain said that to decrease the clash between Muslim Umma and West there should be emergency undertakes but the old issues of Kashmir and Falastin should be solved.	3	a230hf2okthmdz	a1dndzlo2d5d48	a1lkw32z4tqsw7	Mushahid Hussain said that to decrease the clash between Muslim Umma and West there should be emergency undertakes but the old issues of Kashmir and Palestine should be solved.	Mushahid Hussain said that there should be an urgent undertaking to decrease the clash between the Muslim Umma and the West. However, the old issues of Kashmir and Palestine should also be solved.	Mushahid Hussain said that to decrease the tension between Muslim Umma and the West, emergency measures should be taken, but the old issues of Kashmir and Falastin should also be resolved.	a3dd3acpmvdvca	Mushahid Husain Syed said that the gap formed between Muslim nation and the West should be filled by taking not only sudden steps but also by solving long standing issues like that of Kashmir and Palestine.	3	a301gnfg8w711q	a143awku99stc9	a6tw9zegog7ph	Mushahid Husain Syed said that the gap formed between the Muslim nation and the West should be filled by taking not only sudden steps but also by solving long standing issues like that of Kashmir and Palestine.	Mushahid Husain Syed said that the gap formed between the Muslim nations and the west should be filled by taking not only sudden steps but also by solving long standing issues like Kashmir and Palestine.	Mushahid Husain Syed said that the gap formed between the Muslim world and the West should be filled by taking not only sudden steps but also by solving longstanding issues like Kashmir and Palestine.	a2dsltew8ffmbv	Mushahid hussain sayeed said that the arising misunderstanding between muslim and western people will be seen and decided.Kashmir and paliestien problem will be solved.	3	a2unp2crnrfiw8	attzel5iaoiw5	aohhtbpd64eb6	Mushahid Hussain Sayeed said that the arising misunderstanding between muslim and western people will be seen and decided. The Kashmir and Paliestine problem will be solved.	Mushahid Hussain Sayeed said that the arising misunderstanding between Muslim and Western people will be seen and decided. The Kashmir and Palestine problem will be solved.	Mushahid Hussain Sayeed said that the arising misunderstanding between Muslim and western people will be seen and decided. Kashmir and Palestine problem will be solved.	a1aczgd5azz3r7	Mushahid Hussain Syed said that Muslims and the West would give not only the emergency steps for Kashmir but also for the long standing problems like Palestine.	1	ao86wz7i0vqzc	Mushahid Hussain Syed said that Muslims and the West would give not only the emergency steps for Kashmir but also for the long standing problems like Palestine.
bbc_urd_20090102.0020__9	a353ocl6lm6m4o	The external matter prime minister Malik Imad Jan said that the external ministers of Islamic countries are going to Saudi Arabia to attend meeting.	3	a230hf2okthmdz	a1dndzlo2d5d48	a1lkw32z4tqsw7	The external matter prime minister Malik Imad Jan said that the external ministers of Islamic countries are going to Saudi Arabia to attend the meeting.	The External Matter Prime Minister Malik Imad Jan said that the external ministers of the Islamic countries are going to have a meeting in Saudi Arabia.	The Foreign Prime Minister Malik Imad Jan said that the External Ministers of Islamic countries are going to Saudi Arabia to attend a meeting.	a3dd3acpmvdvca	The minister of foreign affairs, Malik Imad told the committee that he was going to Saudi Arabia to attend the meeting of the foreign ministers of the governments of Islamic countries.	3	a301gnfg8w711q	a143awku99stc9	a6tw9zegog7ph	The minister of foreign affairs, Malik Imad, told the committee that he was going to Saudi Arabia to attend the meeting of the foreign ministers of the governments of Islamic countries.	The minister of foreign affairs, Malik Imad, told the committee that he was going to Saudi Arabia to attend the meeting of the foreign ministers of the governments of Islamic countries.	The minister of foreign affairs, Malik Imad, told the committee that he was going to Saudi Arabia to attend the meeting of the foreign ministers of the governments of Islamic countries.	a2dsltew8ffmbv	Malik imdad khan the ex minister said to the commiety that he will be attending the confrence of THE Islamic countries which is held at Saudi Arabia.	3	a2unp2crnrfiw8	attzel5iaoiw5	aohhtbpd64eb6	Malik imdad khan the ex minister said to the committee that he will be attending the confrence of the Islamic countries which is held in Saudi Arabia.	Malik imdad khan the ex minister said to the commiety that he will be attending the confrence of THE Islamic countries which is held at Saudi Arabia.	Malik Imdad Khan, the ex-minister, said to the committee that he will be attending the conference of the Islamic countries which is held in Saudi Arabia.	a1aczgd5azz3r7	Imaduddin Khan, the Minister of External Affairs and the state of the committee said that Saudi Arabia attended the meeting for the foreign ministers of the Islamic countries of the Organization.	1	ao86wz7i0vqzc	Imaduddin Khan, the Minister of External Affairs and the state of the committee said that Saudi Arabia attended the meeting for the foreign ministers of the Islamic countries of the Organization.
bbc_urd_20090102.0020__10	a353ocl6lm6m4o	This emergency meeting is called on Israelian attacks on Falastin.He said that it knows about the issue of Falastin and the govt. is connecting other countries for this issue.	3	a230hf2okthmdz	a1dndzlo2d5d48	a1lkw32z4tqsw7	This emergency meeting is called for the Israeli attacks on Palestine. He said that it knows about the issue of Palestine and the governemnt is connecting other countries on this issue.	This emergency meeting was called because of the Israelian attacks on Palestine. He said they are going to seek the aid of other countries regarding this issue.	This emergency meeting is called on Israelian attacks on Falastin.He said that it knows about the issue of Falastin and the govt. is connecting other countries for this issue.	a3dd3acpmvdvca	This sudden meeting was called as a result of Israeli attacks on Palestine. He said that he was aware of the Palestinian matter and at present, the government was in contact with the premiers of other countries.	3	a301gnfg8w711q	a143awku99stc9	a6tw9zegog7ph	This sudden meeting was called as a result of Israeli attacks on Palestine. He said that he was aware of the Palestinian matter and at present, the government was in contact with the premiers of other countries.	This sudden meeting was called as a result of Israeli attacks on Palestine. He said that he was aware of the Palestinian matter and at present, the government was in contact with the premiers of other countries.	This sudden meeting was called as a result of Israeli attacks on Palestine. He said that he was aware of the Palestinian matter and at present, the government was in contact with the premiers of other countries.	a2dsltew8ffmbv	Failiour of the meeting Israil's attack on paliestien has requested that the peliestien's matter are unknown and the other country is trying to be in contact.	3	a2unp2crnrfiw8	attzel5iaoiw5	aohhtbpd64eb6	The meeting on Israel's attack on Palestine and the other country is trying to be resolved.	Failing of the meeting Israel's attack on Palestine has requested that the peliestien's matter are unknown and the other country is trying to be in contact.	Failure of the meeting Israel's attack on Palestine has requested that the Palestine's matter are unknown and the other country is trying to be in contact.	a1aczgd5azz3r7	The emergency meeting by Israel as the result of the attacks was summoned. He said that the fashion of Palestine is aware and that the Government of other countries should be in touch with leaders in this regard.	1	ao86wz7i0vqzc	The emergency meeting by Israel as the result of the attacks was summoned. He said that the fashion of Palestine is aware and that the Government of other countries should be in touch with leaders in this regard.
