SegID	Urdu	LDC_Translation_1	LDC_Translation_2	LDC_Translation_3	LDC_Translation_4	Turk_Translation_1	Turk_Translation_2	Turk_Translation_3	Turk_Translation_4	WorkerID_1	WorkerID_2	WorkerID_3	WorkerID_4
bbc_urd_20090102.0020__1	فرانس کی تجویز کی حمایت	Support of France's Recommendation	Support for the Proposal of France	French Proposal Endorsed	French Proposal Supported	defending the thinking of France.	Supporting the French proposal	France suggestion was appriciatable.	France has supported the proposal.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__2	کمیٹی کا اجلاس جمعہ کے روز پارلیمنٹ ہاؤس میں کمیٹی کے چیئرمین مشاہد حسین سید کی سربراہی میں ہوا جس میں حکو مت کو یہ تجویز دی گئی کہ وہ امدادی اشیاء کے علاوہ تمام سیاسی جماعتوں کے نمائندوں کا ایک پارلیمانی وفد فلسطین بھیجے۔	The Committee meeting was held in Parliament House on Friday under the direction of Committee Chairman Mushahid Hussain Sayed, wherein it was recommended to the government that, in addition to sending relief supplies, it should also send a parliamentary delegation of the representatives of all political parties to Palestine.	A Meeting of the Committee was held, headed by Mushahid Hussain, in the Parliament House on Friday in which a proposal was submitted to the government that, besides relief goods, a delegation of parliamentarians comprised of representatives from all political parties should also be sent to Palestine.	The Committee met on Friday at Parliament House under the leadership of Committee Chairman Mushahid Hussain Syed, whereat it was proposed to the government that besides relief goods, a parliamentary delegation comprising of representatives of all the political parties should be sent to Palestine.	The committee's meeting was held on Friday at the Parliament House under the chairmanship of Committee Chairman Mushahid Hussain. The Committee proposed to the government to send a parliamentary delegation comprised of represenatives of all parties to Palestine, in addition to sending relief items.	The meeting of commattee was held on Friday in parliment house in the control of Mushahid Hussain Syed in that it was suggested that he send helping things and representatives parties and a parlenani persons to Falaatin.	The meeting of the committee took place in the parliament house under the chairmanship of the committee chairman Mushahid Husain Syed, in which they proposed to the government to send a delegation, with representatives of all political parties apart from humanitarian aid to Palestine.	When commity's meeting was set up in the parliment house the chairman Mushahid hussain syeed of the commity in his presence the suggestion was given to the government,not only with the help of donating thinks but also with all the political group to send to the parliment of Paliestien.	The Chairman of the Committee of the Summit, Mushahid Hussain Syed said in the Committee meeting on Friday at the Parliament House about the proposal on the relief goods to Palestine and that a Parliamentary delegation has been sent.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__3	اجلاس کے بعد میڈیا کے نمائندوں سے گفتگو کرتے ہوئے مشاہد حسین سید نے کہا کہ کمیٹی نے فرانس کی طرف سے دی جانے والی تجویز کا خیرمقدم کیا ہے جس میں کہا گیا ہے کہ اسرائیل فوری طور پر جنگ بندی  کرے اور اس کے علاوہ غزہ میں متاثرہ افراد کے لیے امدادی کاموں کی اجازت دے۔	After the meeting, Mushahid Hussain Sayed, while talking to the representative of the media, said the Committee has welcomed France's recommendation that Israel immediately call a ceasefire and permit relief activities for victims in Gaza.	After the meeting, while talking to the media, Mushahid Hussain Sayed said that the Committee has welcomed the proposal of France in which it has been said that Israel should implement the ceasefire immediately, and, besides that, it should allow relief activities to be carried out for the affected people in Gaza.	Talking to the media representatives after the meeting, Mushahid Hussain Syed said that the Committee welcomed the French proposal which states that Israel should observe immediate ceasefire and in addition, allow relief activities for the effected people of Gaza.	Talking to media representatives after the meeting, Mushahid Hussain Syed said that the Committee welcomed the French proposal, which urged Israel to announce an immediate ceasefire and allow access for relief activities in the war-torn areas of Gaza.	After the meeting Mushahid Hussain said talking with media representatives that the commettee said welcome the suggest by France in which it was called that Israel stop the war and with this give permission to help in helping works for injured persons in Ghaza.	After the meeting, speaking to representatives of the press, Mushahid Husain Syed said that the committee welcomed the proposal given by France, in which it was stated that Israel calls an immediate ceasefire and allow humanitarian work among the affected people of Gaza.	After the meeting while talking to one of the member Mushahid hussain sayeed told by the side of France suggestion was accepted,in which it is said that the Israial's should stop the war immediatly,besides all this the people who are in the cave should be permitted to do some work.	After the meeting, Mushahid Hussain Syed said to the representatives of media that the Committee at France has welcomed the proposal for the relief work for the affected people in the Gaza Strip.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__4	انہوں نے اسرائیل کی طرف سے فسلطینیوں پر حملے کو انسانیت کے خلاف جرم قرار دیتے ہوئے کہا کہ تمام ممالک کو ان حملوں کی مذمت کرنی چاہیے	Declaring Israel's attack on Palestinians a crime against humanity, he said that all countries should condemn these attacks.	While declaring the Israeli attack on Palestinians a crime against humanity, he said that all countries should deplore these attacks.	Declaring Israeli attack on Palestinians as crime against humanity, he said that all countries should condemn these attacks	While terming the Israeli attacks on the Palestinians as crimes against humanity, he said that all countries should condemn these attacks.	He named the attacks by Israel on Israel attacks the criminal against humanity and said that all countries should dispraise these attacks of Israel.	Calling the Israeli attacks on Palestine, a crime against humanity, he said that all countries should derogate these attacks.	On behalf of Israil the attack on paliestien was declared as the crime on humanity, they said that all the countries should help.	He said that the Israeli attack is a crime on humanity and that all the countries should condemn the attacks.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__5	مشاہد حسین نے دنیا کے ممالک کے دوہرے معیار کو تنقید کا نشانہ بناتے ہوئے کہا کہ جو لوگ دہشت گردی کے خلاف بات کرتے ہیں لیکن وہ اب اسرائیل کی طرف سے فلسطینیوں پر ہونے والے حملوں پر کیوں خاموش ہیں۔	Targeting his criticism against their double standard, Mushahid Hussain questioned the silence of those who speak out against terrorism about Israel's attacks on Palestinians.	Mushahid Hussain, while criticizing the double standards of the countries of the world, asked why those who talk against terrorism are silent about the Israeli attacks on Palestinians.	Criticizing double-standards of the international community, Mushahid Hussain questioned as to why countries that speak against terrorism are now silent on the Israeli attacks on Palestinians.	Criticizing the double-standards of the world nations, Mushahid Hussain asked why countries that speak out against terrorism are silent about the Israeli strikes on the Palestinians.	Mushahid Hussain said criticizing the second standard of the world that the people whom talk against terrorism but they are quite of Israel at attacks on Falastin.	Mushahid Husain made the double standards of the countries of the world a target of his attack, and said that why are those who speak against terrorism, quiet about the Israeli attacks on Palestine?	Mushahid hussain said that all the countries gives their opinion on terraisiom but attack of Israil on paliestien why all are quiet.	Mushahid Hussain while criticizing the world to double standards said that the people should be against terrorism, but they are still against the Palestinians in the attacks.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__6	خارجہ امور کے بارے میں سینیٹ کی قائمہ کمیٹی کے چیئرمین نے فسلطین کے مسلے پر اُمت مسلہ کے لیڈروں کے سردمہر روئیے کو بھی تنقید کا نشانہ بنایا۔	The Chairman of the Senate Standing Committee on Foreign Affairs also criticized the apathetic behavior of Muslim leaders on the problem in Palestine.	The Chairman of the Senate's Standing Committee on Foreign Affairs also criticized the cold attitude of the leaders of the Muslim world on the issue of Palestine.	Chairman of the Senate's Standing Committee for External Affairs also criticized the indifferent attitude of Muslim leaders towards the Palestine issue.	The Senate Chairman of the Standing Committee on Foreign Affairs also criticized the lukewarm reaction of Muslim leaders regarding the Palestinian issue.	The chairman of commettee for external matters criticized the slow action of leaders.	The chairman of the standing committee of external affairs in the senate also targeted the leaders of Muslim nation who were taking a quiet stance on the matter of Palestine.	The chairman of the commiety said the paliestien's matter Saddam's brother Tanfeed was made target.	The foreign affairs Minister in the Senate Standing Committee Chairman and the leaders of the Muslim Ummah were also criticized.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__7	انہوں نے کہا کہ کمیٹی نے اس اُمید کا اظہار کیا ہے کہ امریکہ کے نومنتخب صدر بارک اُبامہ اپنی حکومت کے پہلے ایک سو دنوں کے دوران مسلم اُمہ سے خطاب کریں گے تاکہ امریکہ اور مسلم اُمہ کے درمیان پیدا ہونے والی خلیج کو ختم کیا جاسکے۔	He said that the committee is hopeful that the newly elected American president Barack Obama will address the Muslim world during his first 100 days in office so that the gulf between America and the Muslim world can be bridged.	He said that the Committee has shown hopes that the newly-elected President of America, Barack Obama, will address to the Muslim World in his first 100 days so that the gap created between America and the Muslim world could be eliminated.	He said that the Committee expressed hope that America's newly elected president, Barack Obama, will address the Muslim community during his first one hundred days of government in order to bridge the gap between America and the Muslim community.	He said that the Committee expressed hope that newly-elected US President Barack Obama would address the Muslim community in the first 100 days after taking office in order to bridge the gap between the Muslim world and the United States.	He said that the commettee has expressed this hope that the new elected president of America obama will deliver speech to Muslim Ummah due to abolish the clash between America and Muslim Umma.	He said that the committee expressed hope that the newly elected American President, Barack Obama would speak to the Muslim nation, within his first 100 days of his government, to bridge the gulf forming between American and the Muslim nation.	They said that the commiety has said that America's prime minister Barack Obama before100 days his government of set up, he will speak to the muslim people to erase and end the misunderstanding between muslim people and America.	He said that the Committee expressed hope that the newly elected President of the United States Barak will address the Muslim Ummah in his first one hundred days.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__8	مشاہد حسین سید نے کہا کہ مسلم اُمہ اور مغرب کے درمیان پیدا ہونے والے خلاء کو پُر کرنے کے لیے نہ صرف ہنگامی اقدامات کیے جائیں بلکہ کشمیر اور فلسطین جیسے دیرینہ مسائل حل کیے جائیں۔	Mushahid Hussain Sayed said that, not only should emergency steps be taken to fill the gap between the Muslim world and the West, but also old problems like those of Kashmir and Palestine should also be solved.	Mushahid Hussain Sayed said that not only emergency measures should be taken to fill the gap between the West and the Muslim world, but also the long-standing issues like Kashmir and Palestine should be resolved.	Mushahid Hussain Syed said that not only should urgent steps be taken to bridge the gap between the Muslim community and the West but longstanding issues like Kashmir and Palestine should also be resolved.	He said that not only should urgent steps be taken to bridge the gap between the Muslim world and the West, but festering issues like Palestine and Kashmir should also be resolved.	Mushahid Hussain said that to decrease the clash between Muslim Umma and West there should be emergency undertakes but the old issues of Kashmir and Falastin should be solved.	Mushahid Husain Syed said that the gap formed between Muslim nation and the West should be filled by taking not only sudden steps but also by solving long standing issues like that of Kashmir and Palestine.	Mushahid hussain sayeed said that the arising misunderstanding between muslim and western people will be seen and decided.Kashmir and paliestien problem will be solved.	Mushahid Hussain Syed said that Muslims and the West would give not only the emergency steps for Kashmir but also for the long standing problems like Palestine.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__9	خارجہ امور کے وزیر مملکت ملک عماد خان نے کمیٹی کو بتایا کہ وہ اسلامی ملکوں کی تنظیم کے وزراء خارجہ کے اجلاس میں شرکت کے لیے سعودی عرب جا رہے ہیں۔	Malik Amad Khan, Minister of State for Foreign Affairs, told the Committee that he is going to Saudi Arabia to attend the meeting of foreign ministers for the Organization of Islamic Countries.	The Minister of State for Foreign Affairs Malik Ahmad Khan told the Committee that he was going to Saudi Arabia to attend the conference of the Council of Foreign Ministers of the Organization of the Islamic Conference.	The Minister of State for Foreign Affairs, Malik Emad Khan, informed the Committee that he is leaving for Saudi Arabia to attend the foreign ministers' meeting of the Organization of the Islamic Conference.	Minister of State for Foreign Affairs Malik Ammad Khan told the Committee that he would go to Saudi Arabia to attend the foreign ministers' meeting of the Islamic Organization Conference.	The external matter prime minister Malik Imad Jan said that the external ministers of Islamic countries are going to Saudi Arabia to attend meeting.	The minister of foreign affairs, Malik Imad told the committee that he was going to Saudi Arabia to attend the meeting of the foreign ministers of the governments of Islamic countries.	Malik imdad khan the ex minister said to the commiety that he will be attending the confrence of THE Islamic countries which is held at Saudi Arabia.	Imaduddin Khan, the Minister of External Affairs and the state of the committee said that Saudi Arabia attended the meeting for the foreign ministers of the Islamic countries of the Organization.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__10	یہ ہنگامی  اجلاس  اسرائیل کی طرف سے فسلطین پر ہونے والے حملوں  کے نتیجے میں طلب کیا گیا ہے۔ انہوں نے کہا کہ فلسطین کے مسلے سے باخبر ہے اور اس ضمن میں حکومت دوسرے ملکوں کے لیڈروں کے ساتھ رابطے میں ہے۔	This emergency meeting has been called as a result of Israel's attacks on Palestine. He said that the government is aware of the Palestine issue and is in contact with the leaders of other countries about it.	This emergency meeting has been called in response to the Israeli attacks on Palestine. He said that the government is aware of the Palestine issue and is in touch with the leaders of the other countries.	This urgent meeting has been called as a result of Israeli attacks on Palestine. He said is aware of the Palestine issue and the government is in touch with the leaders of other countries in this regards.	The emergency meeting of the Committee was convened to discuss the Israeli offensive against Palestine. He said that the Committee is aware of the Palestinian issue and that the government is in contact with world leaders in this regard.	This emergency meeting is called on Israelian attacks on Falastin.He said that it knows about the issue of Falastin and the govt. is connecting other countries for this issue.	This sudden meeting was called as a result of Israeli attacks on Palestine. He said that he was aware of the Palestinian matter and at present, the government was in contact with the premiers of other countries.	Failiour of the meeting Israil's attack on paliestien has requested that the peliestien's matter are unknown and the other country is trying to be in contact.	The emergency meeting by Israel as the result of the attacks was summoned. He said that the fashion of Palestine is aware and that the Government of other countries should be in touch with leaders in this regard.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
